date,close,open,high,low,volume,volume.1,turnover,total_shares,PE_TTM,PB,PS_TTM,reits_divd,EPS_TTM,pre_close,MA5,MA10,MACD,RSI,DX,next_return
2019/7/8,3793.1297,3875.7547,3875.7547,3775.0259,10953.9086,147.1984,0.4033,3735.464,12.3426,1.4739,1.2015,2.7248,0.8116,3893.2025,3879.95946,3859.16542,46.61576516,51.21689002,0.858460447,-0.00254024
2019/7/9,3786.739,3798.0954,3811.0993,3774.7641,7484.2732,113.1476,0.2755,3735.464,12.3054,1.4708,1.1979,2.7704,0.8116,3802.7897,3851.15158,3858.34741,39.47644386,50.22997506,0.917051183,-0.001684809
2019/7/10,3785.221,3807.9497,3810.396,3774.2304,7283.3948,101.3555,0.2681,3736.1064,12.2395,1.4674,1.1914,2.7579,0.8115,3793.1297,3829.79256,3857.58821,32.92328508,49.54973245,1.045438275,-0.000400873
2019/7/11,3808.7311,3806.1855,3830.7387,3774.4137,7531.1965,113.6746,0.2772,3736.3744,12.2494,1.4672,1.1924,2.8026,0.8114,3786.739,3812.21638,3852.62859,27.29275572,49.37867252,4.057602971,0.006211024
2019/7/12,3824.1878,3783.0733,3820.2354,3774.5224,7546.5967,107.0079,0.2778,3736.3744,12.3258,1.4795,1.1995,2.9249,0.8114,3785.221,3795.3221,3850.94297,24.44579334,52.13476971,4.057602971,0.004058228
2019/7/15,3806.8449,3792.6409,3844.8683,3745.8549,10120.5222,142.493,0.3725,3736.3531,12.3626,1.4838,1.2028,2.4602,0.8114,3808.7311,3799.60172,3839.78059,23.16969582,53.91141748,3.876410613,-0.004535054
2019/7/16,3804.6384,3819.2474,3828.3256,3799.8665,8073.0952,108.4497,0.2972,3736.3522,12.3201,1.4789,1.1987,2.4838,0.8114,3824.1878,3802.34476,3826.74817,20.522383,51.59723686,3.876410613,-0.000579614
2019/7/17,3768.4019,3800.1064,3820.2713,3787.8973,9518.3885,116.7668,0.3503,3736.3522,12.3019,1.4764,1.1969,2.4295,0.8114,3806.8449,3805.92464,3817.8586,18.03838711,51.29554537,7.298949927,-0.009524295
2019/7/18,3807.9551,3793.1893,3793.3916,3767.9958,8749.6445,111.6694,0.322,3736.4533,12.2017,1.4655,1.1877,2.3989,0.8114,3804.6384,3802.56082,3807.3886,12.99600985,46.48818992,12.85500192,0.010496014
2019/7/19,3781.6832,3787.5079,3828.1514,3787.5079,8808.6149,117.7975,0.3242,3736.4302,12.3004,1.4788,1.1985,2.3882,0.8114,3768.4019,3802.40562,3798.86386,12.05256772,51.79836035,1.421297731,-0.006899215
2019/7/22,3789.9135,3813.5022,3816.5387,3765.4428,9210.1377,117.8104,0.3389,3736.4255,12.2155,1.4699,1.1903,2.4258,0.8114,3807.9551,3793.9047,3796.75321,9.08028836,48.36525714,7.806570088,0.002176359
2019/7/23,3819.8325,3783.5411,3792.9647,3768.7614,7131.3346,103.8666,0.2624,3736.4255,12.2454,1.4725,1.1932,2.4653,0.8114,3781.6832,3790.51842,3796.43159,7.304648537,49.49457894,7.806570088,0.007894375
2019/7/24,3851.0665,3803.5867,3840.0579,3803.5738,9094.0684,129.9406,0.3347,3736.4255,12.3412,1.4841,1.2025,2.4464,0.8114,3789.9135,3793.55724,3799.74094,8.216934733,53.47794884,7.089827783,0.008176798
2019/7/25,3858.5688,3821.3898,3851.0665,3812.9532,9374.0417,125.8995,0.345,3736.4226,12.4031,1.4926,1.21,2.4372,0.8114,3819.8325,3810.09016,3806.32549,11.32964973,57.26708632,10.21308434,0.00194811
2019/7/26,3854.2704,3835.2281,3863.5878,3832.5223,8325.93,110.9297,0.3064,3736.4226,12.4208,1.495,1.2118,2.4393,0.8114,3851.0665,3820.2129,3811.30926,14.23774781,58.14882654,13.76395803,-0.001113988
2019/7/29,3870.3176,3857.9394,3862.7467,3842.426,8481.437,111.6791,0.3121,3736.4339,12.4051,1.4929,1.2104,2.4111,0.8114,3858.5688,3834.73034,3814.31752,16.01102639,57.41781889,13.76395803,0.004163486
